Option_id,QuestionnaireQuestionnaire_id,QuestionQuestion_id,OptText,NextQuestion_id
<<<<<<< HEAD
1,1,1,18-30,2
2,1,1,31-45,2
3,1,1,46-60,2
4,1,1,>60,2
5,1,2,Yes,3
6,1,2,No,4
7,1,3,Vegetarian,7
8,1,3,Vegan,7
9,1,3,Gluten-free,4
10,1,3,Lactose intolerant,4
11,1,3,Other,4
12,1,4,Yes,5
13,1,4,No,6
14,1,5,>3 times a week,6
15,1,5,2-3 times a week,6
16,1,5,once a week,6
17,1,6,1,7
18,1,6,2 or 3,7
19,1,6,4 or 5,7
20,1,7,meat ,8
21,1,7,poultry,8
22,1,7,fish,8
23,1,7,beans and vegetables,8
24,1,7,meat supplements (e.g. tofu),8
25,1,8,Yes,10
26,1,8,No,9
27,1,9,Monthly,10
28,1,9,Weekly,10
29,1,9,Some times a week,10
30,1,9,Some times a day,10
31,1,10,No choices,
32,1,10,Limited choises,
33,1,10,Plenty of choises,
34,2,11,18-30,12
35,2,11,31-45,12
36,2,11,46-60,12
37,2,11,>60,12
38,2,12,Male,13
39,2,12,Female,13
40,2,12,Other,13
41,2,13,Yes,14
42,2,13,No,17
43,2,14,Shoes,18
44,2,14,Jewels,18
45,2,14,Headpieces,18
46,2,15,0-50 €,16
47,2,15,50-200 €,16
48,2,15,200-500 €,16
49,2,15,> 500 €,16
50,2,16,Weekly,
51,2,16,Monthly,
52,2,16,Every few months,
53,2,17,Style,15
54,2,17,Confort,16
55,2,18,Monochrome,17
56,2,18,Prints and patterns,17
57,3,1,18-30,2
58,3,1,31-45,2
59,3,1,46-60,2
60,3,1,>60,2
61,3,2,Yes,3
62,3,2,No,4
63,3,3,Yes, 
64,3,3,No,4
65,3,4,Yes,5
66,3,4,No,6
67,3,5,Metro,6
68,3,5,Bus,6
69,3,5,Tram,6
70,3,6,1-20 minutes,7
71,3,6,21-60 minutes,7
72,3,6,1-2 hours,7
73,3,6,> 2 hours,7
74,3,7,Yes,8
75,3,7,No,
76,3,8,Traffic,
77,3,8,People,
78,3,8,Timetables,
79,3,8,Other,
=======
0001,0001,0001,18-30,0002
0002,0001,0001,31-45,0002
0003,0001,0001,46-60,0002
0004,0001,0001,>60,0002
0005,0001,0002,Yes,0003
0006,0001,0002,No,0004
0007,0001,0003,Vegetarian,0007
0008,0001,0003,Vegan,0007
0009,0001,0003,Gluten-free,0004
0010,0001,0003,Lactose intolerant,0004
0011,0001,0003,Other,0004
0012,0001,0004,Yes,0005
0013,0001,0004,No,0006
0014,0001,0005,>3 times a week,0006
0015,0001,0005,2-3 times a week,0006
0016,0001,0005,once a week,0006
0017,0001,0006,1,0007
0018,0001,0006,2 or 3,0007
0019,0001,0006,4 or 5,0007
0020,0001,0007,meat ,0008
0021,0001,0007,poultry,0008
0022,0001,0007,fish,0008
0023,0001,0007,beans and vegetables,0008
0024,0001,0007,meat supplements (e.g. tofu),0008
0025,0001,0008,Yes,0010
0026,0001,0008,No,0009
0027,0001,0009,Monthly,0010
0028,0001,0009,Weekly,0010
0029,0001,0009,Some times a week,0010
0030,0001,0009,Some times a day,0010
0031,0001,0010,No choices,
